"","","",,,,"","SUB SALE",FOR VALIDATION 600 NEW SEARCH,,"","",,PAGE:^#####
"","","",,,,"","",,,"","",,
"*********","**********","**************",****************,**********,**********,"******","********",***********************************,**************,"****************","****************",************,*************
"* Report","D : MRA.PS","B.SALES",,,,"","",,,"","",,
"* Selecte",": 09:33:","8 30 JUN 2025",Sample 600,,,"","",,,"","",,
"*","","",,,,"","",,,"","",,
"*********","**********","**************",****************,**********,**********,"******","********",***********************************,**************,"****************","****************",************,*************
"","","",,,,"","",,,"","",,
"productId","customerId","invoiceNumbers",actualSellPrices,actualCost,actualCogs,"branch","shipToId",shipToName,OrigUnitPrice,"MatrixClassCus","MatrixGroupProd",unitPrice,RANDOM.NUMBER
"104632","17693","S107684517.001",7.82,3.66,3.41,"CHAT","19511",RESIDENTIAL AIR & MAINTENANCE CO.,,"CCLRESI","GCN-CFIL",7.82,.0
"109008","16474","S107685069.001",38.95,21.85,20.49,"CHAT","16474",JOHN KILGORE MECHANICAL (JOHN ONLY),,"CALL","GCN-MAI",38.95,84
"111459","16929","S107683319.001",7.49,5.75,5.75,"CLEV","16929",EXPERT SERVICE,,"CCPNCON","GCN-MTL.AB",7.49,88
"111648","16509","S107684415.001",34.81,27.85,27.85,"CHAT","16509",LIBERTY SUPPLIES,,"16509","GCN-MTLALL",34.81,90
"112601","36499","S107684638.001",0.50,0.27,0.26,"JORD","36875",JORDAN E2,,"CALL","GCN-PVCALL",0.50,93
"112690","19778","S107686760.001",29.90,18.29,17.76,"CHAT","19778",JOE BELL,,"CALL","GCN-RCS",29.90,96
"135339","19462","S107683486.001",51.54,30.49,28.64,"CANT","19462",CASH SALES P2 CANTON,,"CALL","GCN-PRO1",51.54,98
"14025","1392","S107683438.001",22.20,10.00,8.37,"LEBA","1392",BENTLEYS LLC - LEBANON,,"CNP2","GGASCON-2D-4",22.20,10
